ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
28617603.0,Finished,29 novembre 2021  4:16 ,29 novembre 2021  5:49 ,93.0,16.34,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.00
28600712.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:21 ,68.0,17.56,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28610328.0,Finished,2 décembre 2021  6:06 ,2 décembre 2021  7:21 ,75.0,14.15,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,3.90,0.98
28717871.0,Finished,29 novembre 2021  4:01 ,29 novembre 2021  5:36 ,95.0,14.63,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.00,3.66,0.00,4.88,0.98
28601343.0,Finished,2 décembre 2021  5:58 ,2 décembre 2021  6:48 ,50.58,17.07,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
3809215.0,Finished,2 décembre 2021  6:01 ,2 décembre 2021  7:06 ,65.0,17.07,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.00,5.85,0.98
28603036.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:24 ,85.0,16.34,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.39,0.00,5.85,0.98
21109001.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:46 ,92.0,15.37,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.00,3.41,0.00,5.85,0.98
28720778.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:54 ,101.0,14.88,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.00,3.90,0.98
21113646.0,Finished,29 novembre 2021  4:01 ,29 novembre 2021  5:15 ,74.0,15.85,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,4.88,0.98
21102696.0,Finished,3 décembre 2021  10:56 ,3 décembre 2021  11:37 ,40.77,16.83,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.15,0.24,5.85,0.98
21104636.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:14 ,61.0,16.10,2.20,0.49,0.98,0.24,0.24,0.24,0.49,0.00,4.39,0.00,5.85,0.98
28600518.0,Finished,2 décembre 2021  5:56 ,2 décembre 2021  6:36 ,40.22,16.10,2.20,0.98,0.73,0.24,0.24,0.24,0.49,0.00,4.15,0.00,5.85,0.98
28636372.0,Finished,30 novembre 2021  4:12 ,30 novembre 2021  5:01 ,48.73,17.07,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.15,0.00,6.83,0.98
28602737.0,Finished,30 novembre 2021  3:56 ,30 novembre 2021  5:03 ,66.0,17.32,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28600880.0,Finished,1 décembre 2021  10:59 ,1 décembre 2021  12:20 ,81.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.49
28603735.0,Finished,29 novembre 2021  4:00 ,29 novembre 2021  5:18 ,77.0,17.56,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
3805942.0,Finished,29 novembre 2021  4:03 ,29 novembre 2021  5:32 ,88.0,17.07,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
28009976.0,Finished,2 décembre 2021  5:58 ,2 décembre 2021  6:35 ,37.03,16.59,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,5.85,0.98
3700903.0,Finished,3 décembre 2021  10:54 ,3 décembre 2021  11:53 ,58.6,16.10,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
28606375.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:26 ,87.0,16.34,2.44,0.98,0.73,0.24,0.24,0.00,0.49,0.24,3.90,0.24,5.85,0.98
2800282.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:28 ,75.0,15.37,1.95,0.49,0.98,0.24,0.00,0.24,0.49,0.00,3.17,0.00,6.83,0.98
21112391.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:40 ,86.0,15.85,1.46,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.63,0.00,5.85,0.98
