ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
3700903.0,Finished,10 décembre 2021  11:04 ,10 décembre 2021  12:18 ,74.0,13.74,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,2.22,4.85,0.00,0.00
28606375.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,13.69,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.35,1.11,0.00
2800282.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:49 ,104.0,9.49,1.11,0.56,1.11,0.00,0.00,0.56,1.11,0.00,0.00,2.22,2.83,0.00,0.00
28607006.0,Finished,6 décembre 2021  4:06 ,6 décembre 2021  5:50 ,103.0,11.41,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,4.19,0.00,0.00
28617513.0,Finished,7 décembre 2021  4:01 ,7 décembre 2021  5:45 ,104.0,11.31,1.11,1.11,1.11,0.00,0.00,0.00,1.11,0.00,0.00,2.22,3.54,1.11,0.00
3800992.0,Finished,9 décembre 2021  6:03 ,9 décembre 2021  7:47 ,103.0,12.32,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,1.11,0.00,5.10,0.00,0.00
28600503.0,Finished,9 décembre 2021  6:03 ,9 décembre 2021  7:28 ,84.0,15.40,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.40,0.00,2.22
3801541.0,Finished,6 décembre 2021  4:07 ,6 décembre 2021  5:52 ,105.0,11.77,1.11,1.11,1.11,0.00,0.00,0.56,1.11,-,0.00,2.22,4.55,-,-
21119283.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:53 ,110.0,15.35,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.00,0.00,2.22,3.69,1.11,2.22
28600456.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  1:15 ,141.0,12.53,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.30,0.00,0.00
28618173.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,11.11,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,2.78,1.11,0.00
28614980.0,Finished,6 décembre 2021  4:01 ,6 décembre 2021  5:46 ,105.0,9.55,1.11,1.11,1.11,1.11,0.56,-,1.11,0.00,0.00,0.00,3.43,-,-
28606345.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,12.98,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,5.20,1.11,0.00
3811248.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:39 ,99.0,10.20,1.11,1.11,0.56,1.11,0.56,0.56,0.00,0.56,0.00,0.00,3.54,1.11,0.00
28600150.0,Finished,8 décembre 2021  11:01 ,8 décembre 2021  12:46 ,105.0,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,0.00,2.22,5.30,0.00,2.22
3800191.0,Finished,9 décembre 2021  6:18 ,9 décembre 2021  7:25 ,66.0,10.76,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,2.22,1.87,0.00,0.00
28600741.0,Finished,6 décembre 2021  4:01 ,6 décembre 2021  5:51 ,110.0,15.18,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.00,0.00,2.22,4.90,1.11,0.00
28606994.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:36 ,103.0,13.18,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,4.29,1.11,0.00
28609954.0,Finished,7 décembre 2021  4:02 ,7 décembre 2021  5:44 ,101.0,15.91,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,5.35,1.11,0.00
28607755.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:37 ,105.0,15.40,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.56,0.00,5.40,0.00,2.22
28607704.0,Finished,6 décembre 2021  3:55 ,6 décembre 2021  5:40 ,105.0,12.27,1.11,1.11,1.11,-,0.56,0.00,1.11,0.56,0.00,2.22,4.49,0.00,0.00
3803083.0,Finished,9 décembre 2021  6:08 ,9 décembre 2021  7:52 ,103.0,13.13,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.56,0.00,4.80,0.00,0.00
28601285.0,Finished,6 décembre 2021  4:06 ,6 décembre 2021  5:51 ,105.0,12.37,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.15,0.00,0.00
21101133.0,Finished,9 décembre 2021  6:01 ,9 décembre 2021  7:44 ,103.0,13.71,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,0.00,2.22,2.88,1.11,0.00
3703980.0,Finished,10 décembre 2021  11:04 ,10 décembre 2021  12:19 ,75.0,15.03,1.11,1.11,1.11,1.11,0.28,0.00,1.11,0.56,0.00,2.22,5.30,1.11,0.00
