ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.00,Q. 3 /0.35,Q. 4 /2.11,Q. 5 /0.35,Q. 6 /4.21,Q. 7 /0.35,Q. 8 /4.91,Q. 9 /1.05,Q. 10 /3.16,Q. 11 /3.51
3701883.0,Finished,20 septembre 2021  4:04 ,20 septembre 2021  5:11 ,67.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21116436.0,Finished,20 septembre 2021  4:08 ,20 septembre 2021  5:33 ,84.0,17.53,-,-,0.26,2.11,0.35,4.21,0.35,4.21,0.70,2.53,2.81
28601301.0,Finished,20 septembre 2021  4:12 ,20 septembre 2021  5:07 ,54.18,18.28,-,-,0.35,2.11,0.35,4.21,0.35,3.86,1.05,2.84,3.16
28605864.0,Finished,23 septembre 2021  6:02 ,23 septembre 2021  6:47 ,44.48,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3700453.0,Finished,21 septembre 2021  5:30 ,21 septembre 2021  5:40 ,9.6,18.28,-,-,0.35,2.11,0.35,4.21,0.35,3.86,1.05,2.84,3.16
3808875.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  5:05 ,59.65,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21114731.0,Finished,21 septembre 2021  4:03 ,21 septembre 2021  5:16 ,72.0,19.30,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
28600559.0,Finished,20 septembre 2021  4:20 ,20 septembre 2021  5:15 ,55.03,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28717594.0,Finished,23 septembre 2021  6:03 ,23 septembre 2021  6:35 ,31.83,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800162.0,Finished,23 septembre 2021  10:33 ,24 septembre 2021  12:18 ,105.0,14.16,-,-,0.09,2.11,0.00,3.16,0.00,4.91,0.35,2.84,0.70
21109170.0,Finished,20 septembre 2021  4:40 ,20 septembre 2021  5:38 ,57.88,14.42,-,-,0.35,1.05,0.35,2.11,0.35,3.16,1.05,2.84,3.16
3709743.0,Finished,22 septembre 2021  10:57 ,22 septembre 2021  11:41 ,43.77,17.19,-,-,0.35,2.11,0.35,2.81,0.35,4.91,1.05,3.16,2.11
21100776.0,Finished,21 septembre 2021  4:32 ,21 septembre 2021  5:36 ,64.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28710229.0,Finished,24 septembre 2021  10:53 ,24 septembre 2021  11:26 ,33.37,13.40,-,-,0.35,1.05,0.35,1.75,0.35,3.86,1.05,2.53,2.11
3802257.0,Finished,21 septembre 2021  5:23 ,21 septembre 2021  6:15 ,51.32,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28610667.0,Finished,20 septembre 2021  4:16 ,20 septembre 2021  5:20 ,64.0,18.98,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
21108842.0,Finished,20 septembre 2021  4:42 ,20 septembre 2021  5:38 ,56.05,18.60,-,-,0.35,2.11,0.35,4.21,0.35,3.51,1.05,3.16,3.51
3810768.0,Finished,20 septembre 2021  4:10 ,20 septembre 2021  5:14 ,64.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3876023.0,Finished,20 septembre 2021  4:09 ,20 septembre 2021  5:15 ,65.0,18.25,-,-,0.35,2.11,0.35,4.21,0.35,3.86,0.70,3.16,3.16
28601393.0,Finished,22 septembre 2021  11:00 ,22 septembre 2021  11:43 ,42.67,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3309154.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  5:25 ,80.0,18.98,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,2.81
28607223.0,Finished,20 septembre 2021  4:13 ,20 septembre 2021  5:58 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-
28620155.0,Finished,22 septembre 2021  11:00 ,22 septembre 2021  11:40 ,39.78,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3522190.0,Finished,21 septembre 2021  4:11 ,21 septembre 2021  4:48 ,36.53,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28609645.0,Finished,22 septembre 2021  11:04 ,22 septembre 2021  11:52 ,47.68,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28617603.0,Finished,20 septembre 2021  4:37 ,20 septembre 2021  5:36 ,59.02,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28600712.0,Finished,21 septembre 2021  4:23 ,21 septembre 2021  5:24 ,60.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28610127.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:43 ,45.03,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28610328.0,Finished,23 septembre 2021  6:03 ,23 septembre 2021  6:54 ,51.65,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800646.0,Finished,20 septembre 2021  3:59 ,20 septembre 2021  5:44 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-
28603036.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:38 ,40.6,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
28720778.0,Finished,20 septembre 2021  4:26 ,20 septembre 2021  5:40 ,73.0,19.91,-,-,0.35,2.11,0.35,4.21,0.26,4.91,1.05,3.16,3.51
28709864.0,Finished,20 septembre 2021  3:55 ,20 septembre 2021  4:58 ,63.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21102696.0,Finished,24 septembre 2021  10:53 ,24 septembre 2021  11:52 ,59.33,18.25,-,-,0.35,2.11,0.35,3.86,0.35,4.91,1.05,3.16,2.11
28602191.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  4:55 ,50.13,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28716807.0,Finished,21 septembre 2021  4:05 ,21 septembre 2021  5:16 ,71.0,19.33,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.51
21112855.0,Finished,20 septembre 2021  4:03 ,20 septembre 2021  5:09 ,65.0,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28600602.0,Finished,20 septembre 2021  4:10 ,20 septembre 2021  5:24 ,74.0,17.93,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,1.75
3809224.0,Finished,21 septembre 2021  4:27 ,21 septembre 2021  5:03 ,36.13,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
21104636.0,Finished,20 septembre 2021  4:23 ,20 septembre 2021  5:13 ,50.07,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28600518.0,Finished,24 septembre 2021  7:44 ,24 septembre 2021  8:53 ,69.0,16.91,-,-,0.35,2.11,0.35,3.51,0.35,3.51,0.70,2.53,3.51
21113317.0,Finished,20 septembre 2021  4:22 ,20 septembre 2021  5:57 ,95.0,15.44,-,-,0.35,1.40,0.35,2.46,0.35,3.16,1.05,3.16,3.16
28602737.0,Finished,21 septembre 2021  4:06 ,21 septembre 2021  5:00 ,54.27,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28600880.0,Finished,22 septembre 2021  10:53 ,22 septembre 2021  11:39 ,46.13,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28603735.0,Finished,20 septembre 2021  4:00 ,20 septembre 2021  5:09 ,68.0,15.26,-,-,0.35,1.05,0.35,3.16,0.35,3.68,1.05,3.16,2.11
3805942.0,Finished,20 septembre 2021  4:02 ,20 septembre 2021  5:09 ,67.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28009976.0,Finished,23 septembre 2021  6:15 ,23 septembre 2021  6:45 ,29.33,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3700903.0,Finished,24 septembre 2021  10:45 ,24 septembre 2021  11:19 ,34.6,18.95,-,-,0.35,2.11,0.35,3.86,0.35,4.21,1.05,3.16,3.51
28606375.0,Finished,22 septembre 2021  10:57 ,22 septembre 2021  11:44 ,46.33,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
21120079.0,Finished,20 septembre 2021  4:19 ,20 septembre 2021  5:37 ,78.0,14.81,-,-,0.35,1.40,0.35,2.81,0.35,3.16,1.05,2.53,2.81
28617513.0,Finished,21 septembre 2021  4:08 ,21 septembre 2021  5:51 ,103.0,18.25,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,2.11
21112391.0,Finished,20 septembre 2021  4:16 ,20 septembre 2021  5:38 ,81.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3800992.0,Finished,23 septembre 2021  6:03 ,23 septembre 2021  6:47 ,43.27,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28705217.0,Finished,20 septembre 2021  5:32 ,20 septembre 2021  6:35 ,63.0,8.07,-,-,0.35,0.00,0.35,0.00,0.35,0.00,0.35,3.16,3.51
28600503.0,Finished,23 septembre 2021  6:04 ,23 septembre 2021  6:44 ,40.03,19.33,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3801541.0,Finished,20 septembre 2021  4:00 ,20 septembre 2021  5:09 ,68.0,18.98,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
21119283.0,Finished,20 septembre 2021  4:40 ,20 septembre 2021  6:25 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-
28618173.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:45 ,47.27,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3703339.0,Finished,21 septembre 2021  4:07 ,21 septembre 2021  5:31 ,83.0,16.84,-,-,0.35,2.11,0.35,4.21,0.35,2.46,1.05,3.16,2.81
28615820.0,Finished,21 septembre 2021  3:59 ,21 septembre 2021  5:11 ,72.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28603688.0,Finished,21 septembre 2021  4:05 ,21 septembre 2021  5:50 ,105.0,0.00,-,-,-,-,-,-,-,-,-,-,-
28606345.0,Finished,22 septembre 2021  10:56 ,22 septembre 2021  11:43 ,47.88,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28600150.0,Finished,22 septembre 2021  10:59 ,22 septembre 2021  11:49 ,49.85,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3801327.0,Finished,24 septembre 2021  10:49 ,24 septembre 2021  11:26 ,37.63,17.93,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,1.75
