ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.05,Q. 2 /1.58,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /1.58,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /1.58,Q. 10 /1.05,Q. 11 /3.68,Q. 12 /0.53,Q. 13 /4.21,Q. 14 /2.11
3603619.0,Finished,9 December 2020  8:45 PM,9 December 2020  9:01 PM,15.57,16.32,1.05,1.58,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,2.11,0.53,3.16,2.11
3772433.0,Finished,11 December 2020  2:51 PM,11 December 2020  3:40 PM,48.98,12.11,0.00,0.53,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3711799.0,Finished,11 December 2020  4:05 PM,11 December 2020  5:45 PM,100.0,18.95,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.58,1.05,3.68,0.53,3.16,2.11
3801695.0,Finished,11 December 2020  10:47 AM,11 December 2020  12:12 PM,85.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3800519.0,Finished,11 December 2020  3:15 PM,11 December 2020  3:27 PM,12.6,13.68,1.05,1.05,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3709743.0,Finished,9 December 2020  12:07 PM,9 December 2020  12:33 PM,25.92,14.21,1.05,1.58,0.00,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.68,0.53,2.63,0.00
3705179.0,Finished,11 December 2020  4:07 PM,11 December 2020  5:40 PM,92.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3706599.0,Finished,7 December 2020  5:01 PM,7 December 2020  6:22 PM,80.0,15.26,1.05,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,2.11
28712991.0,Finished,7 December 2020  4:52 PM,7 December 2020  6:19 PM,86.0,16.32,1.05,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,2.11
28504995.0,Finished,9 December 2020  11:14 AM,9 December 2020  12:30 PM,76.0,17.89,1.05,1.58,0.53,0.53,0.53,0.53,0.53,0.53,1.05,1.05,3.68,0.53,3.68,2.11
3520624.0,Finished,11 December 2020  4:14 PM,11 December 2020  4:57 PM,42.95,6.84,0.53,0.00,0.53,-,0.00,1.58,0.00,0.53,1.58,-,2.11,-,-,-
3971141.0,Finished,11 December 2020  4:26 PM,11 December 2020  5:27 PM,61.0,12.11,0.53,0.53,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,-,2.63,0.00
3707173.0,Finished,11 December 2020  8:41 PM,11 December 2020  9:26 PM,45.05,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3801173.0,Finished,11 December 2020  10:45 AM,11 December 2020  12:21 PM,96.0,15.79,1.05,1.05,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
28613397.0,Finished,7 December 2020  4:10 PM,7 December 2020  5:27 PM,76.0,15.26,0.53,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.68,2.11
3875020.0,Finished,11 December 2020  4:15 PM,11 December 2020  5:37 PM,82.0,18.42,0.53,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.58,1.05,3.68,0.53,4.21,2.11
3702867.0,Finished,9 December 2020  10:58 AM,9 December 2020  11:48 AM,50.83,17.89,1.05,1.58,0.53,0.53,0.53,1.58,0.00,0.53,1.05,1.05,3.68,0.53,3.16,2.11
3800422.0,Finished,9 December 2020  10:49 AM,9 December 2020  12:31 PM,102.0,17.37,1.05,0.53,0.53,0.00,0.53,1.58,0.53,0.53,1.58,1.05,3.68,0.53,3.16,2.11
3876023.0,Finished,11 December 2020  6:11 PM,11 December 2020  6:19 PM,8.77,11.58,0.00,0.00,0.00,0.00,0.00,1.05,0.53,0.53,1.05,1.05,2.11,0.53,2.63,2.11
