ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.33,Q. 2 /4.67,Q. 3 /1.33,Q. 4 /2.67,Q. 5 /3.33,Q. 6 /4.67
3670050.0,Finished,8 January 2021  2:59 PM,8 January 2021  3:41 PM,41.82,18.48,3.00,4.00,1.33,2.37,3.33,4.44
3800364.0,Finished,8 January 2021  4:01 PM,8 January 2021  4:49 PM,47.95,19.56,3.33,4.67,1.33,2.67,3.33,4.22
28717021.0,Finished,7 January 2021  9:04 AM,7 January 2021  9:25 AM,21.43,15.11,3.33,3.33,0.00,2.67,2.00,3.78
3802291.0,Finished,4 January 2021  4:12 PM,4 January 2021  5:55 PM,103.0,16.37,3.33,2.67,0.00,2.37,3.33,4.67
3801474.0,Finished,6 January 2021  10:59 AM,6 January 2021  11:54 AM,54.88,17.11,3.33,2.00,1.33,2.67,3.33,4.44
3301246.0,Finished,8 January 2021  5:29 PM,8 January 2021  5:43 PM,13.5,14.37,3.33,4.00,1.33,2.37,2.67,0.67
3703993.0,Finished,8 January 2021  4:03 PM,8 January 2021  4:55 PM,52.62,16.89,3.33,2.00,1.33,2.67,3.33,4.22
3802621.0,Finished,6 January 2021  10:46 AM,6 January 2021  11:58 AM,72.0,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3803961.0,Finished,8 January 2021  4:16 PM,8 January 2021  5:44 PM,87.0,8.78,3.00,2.67,0.67,1.78,0.67,-
3700565.0,Finished,8 January 2021  4:04 PM,8 January 2021  4:49 PM,45.1,18.89,3.33,4.00,1.33,2.67,3.33,4.22
3803009.0,Finished,18 January 2021  10:45 AM,18 January 2021  11:53 AM,68.0,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3800446.0,Finished,4 January 2021  4:09 PM,4 January 2021  5:08 PM,58.77,16.22,3.33,2.00,1.33,2.67,3.33,3.56
3803454.0,Finished,6 January 2021  10:46 AM,6 January 2021  11:42 AM,56.77,16.37,3.33,4.67,0.00,2.37,3.33,2.67
3802614.0,Finished,8 January 2021  10:47 AM,8 January 2021  12:23 PM,95.0,19.11,3.33,4.67,0.67,2.67,3.33,4.44
3800511.0,Finished,6 January 2021  10:36 AM,6 January 2021  11:22 AM,45.82,16.33,3.00,4.67,1.33,2.67,2.00,2.67
28717024.0,Finished,7 January 2021  9:11 PM,7 January 2021  9:42 PM,30.98,15.63,3.33,4.67,0.00,2.07,2.00,3.56
3679357.0,Finished,8 January 2021  12:21 PM,8 January 2021  12:27 PM,6.25,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3802515.0,Finished,8 January 2021  2:59 PM,8 January 2021  3:12 PM,13.15,19.33,3.33,4.67,1.33,2.67,3.33,4.00
