ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3971280.0,Finished,27 September 2020  3:06 PM,27 September 2020  4:05 PM,58.63,15.29,1.76,1.18,0.59,0.00,7.06,1.18,2.35,1.18
3702996.0,Finished,27 September 2020  4:37 PM,27 September 2020  5:51 PM,74.0,16.47,1.76,2.94,0.59,0.00,7.06,1.18,2.35,0.59
3802811.0,Finished,27 September 2020  9:38 PM,27 September 2020  10:51 PM,73.0,16.47,1.76,2.94,0.59,0.00,7.06,1.18,2.35,0.59
3801528.0,Finished,27 September 2020  1:22 PM,27 September 2020  2:42 PM,79.0,15.29,2.35,0.59,0.59,0.00,7.06,1.18,2.35,1.18
28716768.0,Finished,27 September 2020  9:52 PM,27 September 2020  11:42 PM,109.0,10.00,1.18,1.76,0.59,0.59,3.53,1.18,0.59,0.59
3802881.0,Finished,26 September 2020  2:09 PM,26 September 2020  3:57 PM,107.0,17.06,1.76,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3803966.0,Finished,23 September 2020  11:50 AM,23 September 2020  1:41 PM,111.0,13.53,1.18,1.76,0.59,0.00,7.06,1.18,0.59,1.18
3709095.0,Finished,21 September 2020  4:04 PM,21 September 2020  5:27 PM,83.0,14.12,1.18,1.18,0.59,0.00,7.06,1.18,2.35,0.59
3704090.0,Finished,27 September 2020  8:22 PM,27 September 2020  9:10 PM,48.3,9.41,0.59,0.59,0.00,0.00,7.06,1.18,0.00,0.00
3302184.0,Finished,28 September 2020  1:07 AM,28 September 2020  3:06 AM,119.0,10.59,1.18,0.59,0.00,0.00,7.06,1.18,0.59,0.00
3802410.0,Finished,25 September 2020  4:50 PM,25 September 2020  6:11 PM,81.0,15.88,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.00
3521322.0,Finished,27 September 2020  2:45 PM,27 September 2020  4:43 PM,118.0,11.76,1.18,1.76,0.00,0.00,7.06,1.18,0.59,0.00
28616887.0,Finished,25 September 2020  3:15 PM,25 September 2020  4:35 PM,80.0,13.53,1.18,0.59,0.59,0.00,7.06,1.18,2.35,0.59
3700530.0,Finished,27 September 2020  9:35 PM,27 September 2020  11:15 PM,100.0,15.88,3.53,2.94,0.00,0.00,7.06,1.18,0.59,0.59
3800103.0,Finished,24 September 2020  12:52 PM,24 September 2020  2:51 PM,119.0,15.88,2.94,2.35,0.59,0.00,7.06,1.18,1.18,0.59
3700640.0,Finished,28 September 2020  8:47 AM,28 September 2020  10:15 AM,88.0,15.29,1.18,2.35,0.59,0.00,7.06,1.18,2.35,0.59
3805644.0,Finished,23 September 2020  4:11 PM,23 September 2020  5:41 PM,89.0,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3800099.0,Finished,22 September 2020  5:06 PM,22 September 2020  6:56 PM,109.0,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3802336.0,Finished,28 September 2020  6:40 AM,28 September 2020  7:54 AM,73.0,16.47,1.76,2.94,0.59,0.00,7.06,1.18,2.35,0.59
28717834.0,Finished,28 September 2020  1:44 AM,28 September 2020  2:31 AM,46.5,16.47,3.53,1.76,0.59,0.00,7.06,1.18,1.76,0.59
3670056.0,Finished,26 September 2020  2:14 PM,26 September 2020  3:14 PM,60.0,11.18,1.18,1.18,0.00,0.00,7.06,1.18,0.59,0.00
3772433.0,Finished,25 September 2020  1:47 PM,25 September 2020  2:40 PM,53.1,12.35,1.18,1.18,0.59,0.00,7.06,1.18,1.18,0.00
3711799.0,Finished,27 September 2020  10:22 PM,27 September 2020  11:08 PM,46.07,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3801695.0,Finished,25 September 2020  10:13 PM,25 September 2020  10:59 PM,45.72,18.24,3.53,2.94,0.59,0.00,7.06,1.18,2.35,0.59
3800519.0,Finished,28 September 2020  12:07 AM,28 September 2020  12:32 AM,24.92,15.88,1.76,2.94,0.59,0.59,7.06,0.59,1.76,0.59
