ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3971141.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.79,5.70,3.86,2.22
3707173.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.80,5.22,5.02,0.56
3801173.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,15.56,6.27,5.41,3.89
28613397.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,14.76,6.67,5.31,2.78
3875020.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,13.46,6.18,5.60,1.67
3702867.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,9.35,4.42,4.93,0.00
3708077.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:30 PM,104.0,7.60,6.10,0.39,1.11
3674815.0,Finished,16 November 2020  10:45 AM,16 November 2020  11:48 AM,63.0,9.05,4.58,2.80,1.67
3800422.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:26 PM,101.0,7.14,6.02,0.00,1.11
3876023.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.41,4.90,5.51,-
3802432.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,14.42,6.67,3.86,3.89
3700421.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,9.18,5.22,3.96,0.00
3971668.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,105.0,12.03,6.67,2.03,3.33
3700479.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.21,6.35,4.64,2.22
3700615.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.67,6.59,3.86,2.22
3522190.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,3.51,1.77,1.74,0.00
3201218.0,Finished,16 November 2020  10:48 AM,16 November 2020  12:32 PM,104.0,9.82,6.35,3.48,-
3803950.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,8.34,6.02,2.32,0.00
3874897.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,9.44,4.90,4.54,-
3803611.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.02,6.67,3.57,2.78
