State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
Finished,26 November 2022  2:47 PM,26 November 2022  4:34 PM,1 hour 47 mins,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  2:54 PM,26 November 2022  4:00 PM,1 hour 5 mins,12.22,4.72,3.33,2.50,1.67
Finished,26 November 2022  2:56 PM,26 November 2022  3:11 PM,15 mins 8 secs,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  2:57 PM,26 November 2022  3:53 PM,55 mins 41 secs,10.00,5.00,0.00,2.50,2.50
Finished,26 November 2022  2:58 PM,26 November 2022  3:59 PM,1 hour,13.89,3.89,3.33,2.50,4.17
Finished,26 November 2022  3:03 PM,26 November 2022  4:56 PM,1 hour 52 mins,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  3:03 PM,26 November 2022  5:03 PM,1 hour 59 mins,12.50,5.00,3.33,0.00,4.17
Finished,26 November 2022  3:04 PM,26 November 2022  5:04 PM,2 hours,1.67,-,-,-,1.67
Finished,26 November 2022  3:13 PM,26 November 2022  4:52 PM,1 hour 38 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:16 PM,26 November 2022  4:31 PM,1 hour 15 mins,9.17,5.00,0.00,2.50,1.67
Finished,26 November 2022  3:21 PM,26 November 2022  5:21 PM,1 hour 59 mins,17.50,5.00,3.33,5.00,4.17
Finished,26 November 2022  3:25 PM,26 November 2022  4:40 PM,1 hour 15 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:27 PM,26 November 2022  5:27 PM,2 hours,7.78,2.78,3.33,0.00,1.67
Finished,26 November 2022  3:31 PM,26 November 2022  4:40 PM,1 hour 8 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:33 PM,26 November 2022  4:39 PM,1 hour 5 mins,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  3:35 PM,26 November 2022  5:35 PM,2 hours,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:43 PM,26 November 2022  5:43 PM,1 hour 59 mins,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  3:46 PM,26 November 2022  5:13 PM,1 hour 27 mins,16.39,4.72,5.00,2.50,4.17
Finished,26 November 2022  3:50 PM,26 November 2022  5:42 PM,1 hour 52 mins,10.83,5.00,3.33,2.50,0.00
Finished,26 November 2022  3:51 PM,26 November 2022  4:40 PM,49 mins 28 secs,8.61,2.78,3.33,0.00,2.50
Finished,26 November 2022  3:52 PM,26 November 2022  5:17 PM,1 hour 25 mins,12.50,2.50,3.33,2.50,4.17
Finished,26 November 2022  3:52 PM,26 November 2022  4:42 PM,49 mins 46 secs,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:54 PM,26 November 2022  5:11 PM,1 hour 17 mins,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  3:58 PM,26 November 2022  5:18 PM,1 hour 19 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  3:59 PM,26 November 2022  5:40 PM,1 hour 40 mins,12.50,5.00,3.33,2.50,1.67
Finished,26 November 2022  4:00 PM,26 November 2022  6:00 PM,2 hours,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  4:02 PM,26 November 2022  6:01 PM,1 hour 59 mins,12.50,5.00,3.33,2.50,1.67
Finished,26 November 2022  4:04 PM,26 November 2022  6:04 PM,2 hours,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:06 PM,26 November 2022  5:18 PM,1 hour 11 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:10 PM,26 November 2022  5:47 PM,1 hour 36 mins,12.78,2.78,3.33,2.50,4.17
Finished,26 November 2022  4:11 PM,26 November 2022  5:56 PM,1 hour 45 mins,12.50,2.50,3.33,2.50,4.17
Finished,26 November 2022  4:13 PM,26 November 2022  6:13 PM,2 hours,8.33,2.50,1.67,0.00,4.17
Finished,26 November 2022  4:14 PM,26 November 2022  5:41 PM,1 hour 26 mins,8.33,5.00,0.00,2.50,0.83
Finished,26 November 2022  4:15 PM,26 November 2022  6:15 PM,2 hours,9.44,2.78,3.33,2.50,0.83
Finished,26 November 2022  4:16 PM,26 November 2022  5:25 PM,1 hour 8 mins,9.44,4.44,3.33,0.00,1.67
Finished,26 November 2022  4:19 PM,26 November 2022  5:06 PM,46 mins 51 secs,13.33,3.33,3.33,2.50,4.17
Finished,26 November 2022  4:20 PM,26 November 2022  6:20 PM,2 hours,12.50,2.50,3.33,2.50,4.17
Finished,26 November 2022  4:21 PM,26 November 2022  6:21 PM,2 hours,12.22,4.72,3.33,2.50,1.67
Finished,26 November 2022  4:21 PM,26 November 2022  6:00 PM,1 hour 38 mins,16.39,1.39,5.00,5.00,5.00
Finished,26 November 2022  4:22 PM,26 November 2022  5:52 PM,1 hour 30 mins,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  4:22 PM,26 November 2022  5:58 PM,1 hour 36 mins,18.33,5.00,3.33,5.00,5.00
Finished,26 November 2022  4:22 PM,26 November 2022  6:22 PM,2 hours,0.56,0.56,-,-,-
Finished,26 November 2022  4:22 PM,26 November 2022  5:36 PM,1 hour 14 mins,6.94,2.78,0.00,2.50,1.67
Finished,26 November 2022  4:24 PM,26 November 2022  6:24 PM,2 hours,8.06,0.56,3.33,2.50,1.67
Finished,26 November 2022  4:25 PM,26 November 2022  6:14 PM,1 hour 48 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:26 PM,26 November 2022  6:01 PM,1 hour 34 mins,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  4:27 PM,26 November 2022  6:27 PM,2 hours,10.83,5.00,1.67,2.50,1.67
Finished,26 November 2022  4:28 PM,26 November 2022  6:28 PM,2 hours,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  4:28 PM,26 November 2022  4:53 PM,25 mins 33 secs,6.11,0.28,1.67,2.50,1.67
Finished,26 November 2022  4:28 PM,26 November 2022  5:50 PM,1 hour 21 mins,15.83,5.00,5.00,2.50,3.33
Finished,26 November 2022  4:28 PM,26 November 2022  6:28 PM,2 hours,14.44,4.44,3.33,2.50,4.17
Finished,26 November 2022  4:29 PM,26 November 2022  6:13 PM,1 hour 44 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:29 PM,26 November 2022  6:13 PM,1 hour 44 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:31 PM,26 November 2022  6:26 PM,1 hour 55 mins,20.00,5.00,5.00,5.00,5.00
Finished,26 November 2022  4:31 PM,26 November 2022  6:30 PM,1 hour 58 mins,12.22,4.72,3.33,2.50,1.67
Finished,26 November 2022  4:31 PM,26 November 2022  6:24 PM,1 hour 53 mins,20.00,5.00,5.00,5.00,5.00
Finished,26 November 2022  4:32 PM,26 November 2022  4:54 PM,21 mins 52 secs,15.00,5.00,3.33,5.00,1.67
Finished,26 November 2022  4:32 PM,26 November 2022  6:30 PM,1 hour 57 mins,15.83,5.00,5.00,2.50,3.33
Finished,26 November 2022  4:33 PM,26 November 2022  6:30 PM,1 hour 56 mins,14.17,5.00,3.33,5.00,0.83
Finished,26 November 2022  4:34 PM,26 November 2022  6:29 PM,1 hour 55 mins,11.67,5.00,3.33,2.50,0.83
Finished,26 November 2022  4:36 PM,26 November 2022  6:28 PM,1 hour 51 mins,19.17,5.00,5.00,5.00,4.17
Finished,26 November 2022  4:39 PM,26 November 2022  6:30 PM,1 hour 50 mins,11.67,5.00,0.00,2.50,4.17
