State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,29 October 2022  4:02 PM,29 October 2022  5:37 PM,95,18.67,18.67
Finished,29 October 2022  4:04 PM,29 October 2022  4:29 PM,25,18.67,18.67
Finished,29 October 2022  4:05 PM,29 October 2022  4:32 PM,27,20.00,20.00
Finished,29 October 2022  4:08 PM,29 October 2022  4:34 PM,26,19.33,19.33
Finished,29 October 2022  4:10 PM,29 October 2022  4:32 PM,21,20.00,20.00
Finished,29 October 2022  4:13 PM,29 October 2022  5:21 PM,67,20.00,20.00
Finished,29 October 2022  4:15 PM,29 October 2022  4:21 PM,6,20.00,20.00
Finished,29 October 2022  4:16 PM,29 October 2022  4:43 PM,27,16.00,16.00
Finished,29 October 2022  4:23 PM,29 October 2022  6:01 PM,97,20.00,20.00
Finished,29 October 2022  4:24 PM,29 October 2022  5:17 PM,53,20.00,20.00
Finished,29 October 2022  4:25 PM,29 October 2022  5:09 PM,44,17.33,17.33
Finished,29 October 2022  4:28 PM,29 October 2022  5:39 PM,70,20.00,20.00
Finished,29 October 2022  4:29 PM,29 October 2022  5:38 PM,68,18.67,18.67
Finished,29 October 2022  4:30 PM,29 October 2022  6:29 PM,119,18.67,18.67
Finished,29 October 2022  4:30 PM,29 October 2022  6:30 PM,120,18.67,18.67
Finished,29 October 2022  4:30 PM,29 October 2022  6:30 PM,120,18.67,18.67
Finished,29 October 2022  4:31 PM,29 October 2022  6:30 PM,119,18.00,18.00
Finished,29 October 2022  4:31 PM,29 October 2022  5:52 PM,81,18.67,18.67
Finished,29 October 2022  4:36 PM,29 October 2022  6:36 PM,120,1.33,1.33
Finished,29 October 2022  4:39 PM,29 October 2022  5:51 PM,72,20.00,20.00
Finished,29 October 2022  4:41 PM,29 October 2022  5:10 PM,29,20.00,20.00
Finished,29 October 2022  4:42 PM,29 October 2022  4:58 PM,16,19.33,19.33
Finished,29 October 2022  4:42 PM,29 October 2022  5:18 PM,36,20.00,20.00
Finished,29 October 2022  4:44 PM,29 October 2022  5:03 PM,19,20.00,20.00
Finished,29 October 2022  4:46 PM,29 October 2022  6:02 PM,76,17.33,17.33
Finished,29 October 2022  4:48 PM,29 October 2022  5:42 PM,54,20.00,20.00
Finished,29 October 2022  4:58 PM,29 October 2022  5:16 PM,19,20.00,20.00
Finished,29 October 2022  4:59 PM,29 October 2022  5:24 PM,25,20.00,20.00
