ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.33,Q. 2 /5.33,Q. 3 /5.33,Q. 4 /1.33,Q. 5 /4.00,Q. 6 /1.33,Q. 7 /1.33
3800099.0,Finished,9 October 2020  10:28 PM,9 October 2020  11:21 PM,52.37,13.00,1.33,5.33,0.00,0.00,4.00,1.00,1.33
3802336.0,Finished,11 October 2020  10:03 PM,11 October 2020  11:57 PM,113.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3671035.0,Finished,11 October 2020  3:36 PM,11 October 2020  5:28 PM,112.0,18.67,1.33,4.00,5.33,1.33,4.00,1.33,1.33
28717834.0,Finished,12 October 2020  5:24 AM,12 October 2020  5:42 AM,17.73,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670056.0,Finished,12 October 2020  12:08 AM,12 October 2020  12:36 AM,28.45,8.11,0.00,2.00,0.00,0.44,4.00,1.33,0.33
3603619.0,Finished,9 October 2020  3:59 PM,9 October 2020  4:38 PM,38.93,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3772433.0,Finished,10 October 2020  2:58 PM,10 October 2020  4:38 PM,99.0,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
3711799.0,Finished,11 October 2020  10:05 PM,11 October 2020  10:58 PM,53.27,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3801695.0,Finished,11 October 2020  7:38 PM,11 October 2020  8:17 PM,39.23,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800519.0,Finished,12 October 2020  2:42 AM,12 October 2020  2:49 AM,7.5,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3709743.0,Finished,11 October 2020  6:40 PM,11 October 2020  7:15 PM,34.52,10.00,0.00,2.67,0.00,1.33,4.00,0.67,1.33
3705179.0,Finished,11 October 2020  11:33 PM,12 October 2020  12:45 AM,71.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3706599.0,Finished,11 October 2020  9:31 PM,11 October 2020  11:03 PM,91.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28712991.0,Finished,11 October 2020  10:24 PM,11 October 2020  10:59 PM,35.3,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28504995.0,Finished,11 October 2020  3:08 PM,11 October 2020  4:04 PM,55.75,10.78,1.33,2.67,0.00,0.44,4.00,1.00,1.33
3520624.0,Finished,9 October 2020  11:48 AM,9 October 2020  1:16 PM,87.0,11.33,1.33,2.67,0.00,1.33,4.00,1.00,1.00
3971141.0,Finished,11 October 2020  9:45 PM,11 October 2020  10:20 PM,35.02,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3707173.0,Finished,11 October 2020  9:11 PM,11 October 2020  10:20 PM,69.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3801173.0,Finished,6 October 2020  2:43 PM,6 October 2020  3:38 PM,54.73,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28613397.0,Finished,5 October 2020  3:36 PM,5 October 2020  4:03 PM,27.75,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3875020.0,Finished,12 October 2020  12:10 AM,12 October 2020  1:18 AM,67.0,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
3702867.0,Finished,11 October 2020  9:43 PM,11 October 2020  10:08 PM,25.08,13.33,0.00,5.33,0.00,1.33,4.00,1.33,1.33
3708077.0,Finished,11 October 2020  11:36 PM,11 October 2020  11:46 PM,10.65,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800422.0,Finished,9 October 2020  5:02 PM,9 October 2020  6:14 PM,71.0,11.33,1.33,3.33,0.00,1.33,4.00,0.67,0.67
3876023.0,Finished,12 October 2020  8:55 AM,12 October 2020  10:08 AM,73.0,9.67,0.00,2.00,-,1.33,4.00,1.33,1.00
3802432.0,Finished,11 October 2020  4:12 PM,11 October 2020  4:45 PM,32.55,10.00,1.33,2.67,0.00,0.00,3.33,1.33,1.33
3309154.0,Finished,12 October 2020  9:22 AM,12 October 2020  10:44 AM,82.0,6.67,0.00,0.00,-,0.00,4.00,1.33,1.33
3700421.0,Finished,10 October 2020  2:04 PM,10 October 2020  2:56 PM,51.97,6.67,1.33,-,-,0.00,4.00,0.67,0.67
3971668.0,Finished,11 October 2020  7:21 PM,11 October 2020  8:44 PM,83.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700479.0,Finished,11 October 2020  4:23 PM,11 October 2020  5:07 PM,43.33,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700615.0,Finished,5 October 2020  9:18 PM,5 October 2020  10:21 PM,62.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3522190.0,Finished,11 October 2020  10:49 PM,11 October 2020  11:32 PM,42.7,19.67,1.33,5.33,5.33,1.33,4.00,1.33,1.00
3201218.0,Finished,11 October 2020  7:39 PM,11 October 2020  9:17 PM,98.0,11.33,1.33,2.67,0.00,1.33,4.00,1.33,0.67
3803950.0,Finished,10 October 2020  6:26 PM,10 October 2020  6:46 PM,20.52,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3874897.0,Finished,12 October 2020  8:06 AM,12 October 2020  10:05 AM,118.0,9.33,1.33,1.33,0.00,0.00,4.00,1.33,1.33
3803611.0,Finished,12 October 2020  8:42 AM,12 October 2020  9:10 AM,27.9,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28502791.0,Finished,11 October 2020  10:32 PM,11 October 2020  10:45 PM,13.03,17.33,1.33,4.00,5.33,0.00,4.00,1.33,1.33
3971165.0,Finished,12 October 2020  12:46 AM,12 October 2020  1:26 AM,40.28,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800646.0,Finished,11 October 2020  9:21 PM,11 October 2020  9:34 PM,13.53,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802558.0,Finished,12 October 2020  1:07 AM,12 October 2020  2:10 AM,62.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670527.0,Finished,11 October 2020  10:48 PM,11 October 2020  10:53 PM,4.32,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700191.0,Finished,5 October 2020  9:16 PM,5 October 2020  10:17 PM,61.0,19.67,1.33,5.33,5.33,1.33,4.00,1.00,1.33
3802500.0,Finished,11 October 2020  11:21 PM,12 October 2020  12:49 AM,87.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3671086.0,Finished,10 October 2020  10:57 PM,10 October 2020  11:25 PM,28.1,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670280.0,Finished,11 October 2020  10:52 AM,11 October 2020  11:16 AM,23.97,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3671439.0,Finished,12 October 2020  8:53 AM,12 October 2020  10:42 AM,109.0,12.44,0.00,5.33,0.00,0.44,4.00,1.33,1.33
3971070.0,Finished,11 October 2020  10:47 PM,12 October 2020  12:45 AM,118.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670050.0,Finished,10 October 2020  11:19 AM,10 October 2020  11:24 AM,5.3,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800364.0,Finished,12 October 2020  9:33 AM,12 October 2020  9:55 AM,22.07,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
28717021.0,Finished,12 October 2020  8:54 AM,12 October 2020  9:13 AM,19.28,11.67,1.33,2.67,0.00,1.33,4.00,1.33,1.00
3802291.0,Finished,12 October 2020  1:18 AM,12 October 2020  1:42 AM,23.58,17.33,1.33,2.67,5.33,1.33,4.00,1.33,1.33
3801474.0,Finished,9 October 2020  5:28 PM,9 October 2020  6:17 PM,48.52,16.00,0.00,2.67,5.33,1.33,4.00,1.33,1.33
3301246.0,Finished,11 October 2020  9:02 PM,11 October 2020  10:48 PM,106.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3521154.0,Finished,12 October 2020  9:45 AM,12 October 2020  10:28 AM,42.85,17.33,1.33,2.67,5.33,1.33,4.00,1.33,1.33
3703993.0,Finished,11 October 2020  8:03 PM,11 October 2020  9:06 PM,62.0,14.00,1.33,4.67,0.00,1.33,4.00,1.33,1.33
3802621.0,Finished,11 October 2020  1:37 PM,11 October 2020  3:28 PM,110.0,13.78,1.33,5.33,0.00,0.44,4.00,1.33,1.33
3803961.0,Finished,11 October 2020  11:24 PM,11 October 2020  11:39 PM,14.23,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700565.0,Finished,12 October 2020  5:28 AM,12 October 2020  7:01 AM,93.0,8.44,0.00,2.00,0.00,0.44,4.00,1.33,0.67
3803009.0,Finished,12 October 2020  1:13 AM,12 October 2020  1:38 AM,24.35,8.67,1.33,2.67,0.00,0.00,2.33,1.00,1.33
3800446.0,Finished,8 October 2020  4:51 PM,8 October 2020  6:12 PM,80.0,16.11,0.00,4.67,5.33,0.44,4.00,0.67,1.00
3803454.0,Finished,11 October 2020  11:22 PM,11 October 2020  11:45 PM,23.63,10.00,0.00,2.67,0.00,1.33,4.00,1.33,0.67
3802614.0,Finished,11 October 2020  11:03 PM,12 October 2020  12:20 AM,76.0,13.11,1.33,4.67,0.00,0.44,4.00,1.33,1.33
3800511.0,Finished,11 October 2020  5:51 PM,11 October 2020  7:44 PM,113.0,10.67,0.00,2.67,0.00,1.33,4.00,1.33,1.33
28717024.0,Finished,10 October 2020  4:06 PM,10 October 2020  5:27 PM,80.0,11.67,1.33,2.67,0.00,1.33,4.00,1.33,1.00
3679357.0,Finished,12 October 2020  9:15 AM,12 October 2020  9:19 AM,3.67,16.67,1.33,2.67,5.33,1.33,3.33,1.33,1.33
3802515.0,Finished,11 October 2020  5:01 PM,11 October 2020  6:32 PM,91.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3703346.0,Finished,11 October 2020  4:15 PM,11 October 2020  4:42 PM,26.72,10.78,1.33,2.67,0.00,0.44,4.00,1.33,1.00
3711387.0,Finished,11 October 2020  10:06 PM,11 October 2020  10:22 PM,16.1,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3708307.0,Finished,11 October 2020  8:17 PM,11 October 2020  8:30 PM,12.82,9.00,1.33,2.67,0.00,0.00,4.00,0.33,0.67
3674205.0,Finished,12 October 2020  9:52 AM,12 October 2020  10:13 AM,21.75,8.00,-,-,-,1.33,4.00,1.33,1.33
3800256.0,Finished,10 October 2020  5:34 PM,10 October 2020  6:16 PM,41.48,11.33,0.00,3.33,0.00,1.33,4.00,1.33,1.33
3309168.0,Finished,11 October 2020  8:03 PM,11 October 2020  9:06 PM,63.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3873784.0,Finished,11 October 2020  2:31 PM,11 October 2020  3:45 PM,73.0,9.67,1.33,2.00,0.00,0.00,3.67,1.33,1.33
3872354.0,Finished,10 October 2020  2:58 PM,10 October 2020  4:39 PM,100.0,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
3802420.0,Finished,12 October 2020  12:32 AM,12 October 2020  12:51 AM,19.62,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
2800282.0,Finished,12 October 2020  8:35 AM,12 October 2020  10:34 AM,119.0,10.67,0.00,2.67,0.00,1.33,4.00,1.33,1.33
3811132.0,Finished,11 October 2020  2:30 PM,11 October 2020  3:45 PM,74.0,12.67,1.33,4.67,0.00,0.00,4.00,1.33,1.33
